index,image_path,true_label,predicted_label,true_index,predicted_index
6,/content/MediScan/Training/glioma/Tr-gl_1366.jpg,glioma,notumor,0,2
13,/content/MediScan/Training/pituitary/Tr-pi_384.jpg,pituitary,notumor,3,2
17,/content/MediScan/Training/glioma/Tr-gl_164.jpg,glioma,meningioma,0,1
20,/content/MediScan/Training/meningioma/Tr-me_712.jpg,meningioma,pituitary,1,3
32,/content/MediScan/Testing/glioma/Te-gl_295.jpg,glioma,notumor,0,2
36,/content/MediScan/Training/glioma/Tr-gl_216.jpg,glioma,meningioma,0,1
40,/content/MediScan/Testing/glioma/Te-gl_158.jpg,glioma,meningioma,0,1
60,/content/MediScan/Training/meningioma/Tr-aug-me_42.jpg,meningioma,glioma,1,0
67,/content/MediScan/Training/glioma/Tr-gl_1027.jpg,glioma,meningioma,0,1
71,/content/MediScan/Training/glioma/Tr-gl_206.jpg,glioma,meningioma,0,1
94,/content/MediScan/Training/meningioma/Tr-me_258.jpg,meningioma,glioma,1,0
98,/content/MediScan/Training/meningioma/Tr-me_477.jpg,meningioma,pituitary,1,3
101,/content/MediScan/Training/glioma/Tr-gl_28.jpg,glioma,meningioma,0,1
107,/content/MediScan/Training/glioma/Tr-gl_691.jpg,glioma,meningioma,0,1
209,/content/MediScan/Training/meningioma/Tr-aug-me_52.jpg,meningioma,glioma,1,0
210,/content/MediScan/Testing/glioma/Te-gl_71.jpg,glioma,meningioma,0,1
264,/content/MediScan/Testing/glioma/Te-gl_109.jpg,glioma,notumor,0,2
270,/content/MediScan/Training/pituitary/Tr-pi_397.jpg,pituitary,notumor,3,2
271,/content/MediScan/Training/pituitary/Tr-pi_1352.jpg,pituitary,notumor,3,2
284,/content/MediScan/Training/meningioma/Tr-me_856.jpg,meningioma,pituitary,1,3
285,/content/MediScan/Training/pituitary/Tr-pi_416.jpg,pituitary,meningioma,3,1
288,/content/MediScan/Training/notumor/Tr-no_380.jpg,notumor,meningioma,2,1
313,/content/MediScan/Training/meningioma/Tr-me_336.jpg,meningioma,notumor,1,2
319,/content/MediScan/Testing/glioma/Te-gl_306.jpg,glioma,meningioma,0,1
332,/content/MediScan/Training/glioma/Tr-gl_1195.jpg,glioma,meningioma,0,1
344,/content/MediScan/Training/meningioma/Tr-me_1065.jpg,meningioma,glioma,1,0
368,/content/MediScan/Training/glioma/Tr-gl_1166.jpg,glioma,meningioma,0,1
369,/content/MediScan/Training/meningioma/Tr-me_303.jpg,meningioma,glioma,1,0
382,/content/MediScan/Testing/meningioma/Te-me_130.jpg,meningioma,pituitary,1,3
384,/content/MediScan/Training/glioma/Tr-gl_780.jpg,glioma,meningioma,0,1
387,/content/MediScan/Testing/glioma/Te-gl_126.jpg,glioma,meningioma,0,1
396,/content/MediScan/Training/meningioma/Tr-me_1248.jpg,meningioma,pituitary,1,3
397,/content/MediScan/Training/glioma/Tr-gl_154.jpg,glioma,meningioma,0,1
399,/content/MediScan/Testing/glioma/Te-gl_157.jpg,glioma,meningioma,0,1
406,/content/MediScan/Testing/meningioma/Te-me_209.jpg,meningioma,pituitary,1,3
407,/content/MediScan/Training/glioma/Tr-gl_880.jpg,glioma,meningioma,0,1
419,/content/MediScan/Training/meningioma/Tr-aug-me_76.jpg,meningioma,glioma,1,0
429,/content/MediScan/Testing/glioma/Te-gl_257.jpg,glioma,meningioma,0,1
433,/content/MediScan/Training/meningioma/Tr-me_1085.jpg,meningioma,glioma,1,0
444,/content/MediScan/Training/glioma/Tr-gl_532.jpg,glioma,notumor,0,2
490,/content/MediScan/Testing/glioma/Te-gl_303.jpg,glioma,notumor,0,2
491,/content/MediScan/Training/glioma/Tr-gl_813.jpg,glioma,meningioma,0,1
505,/content/MediScan/Training/meningioma/Tr-me_328.jpg,meningioma,glioma,1,0
523,/content/MediScan/Testing/glioma/Te-gl_167.jpg,glioma,notumor,0,2
526,/content/MediScan/Training/meningioma/Tr-me_871.jpg,meningioma,pituitary,1,3
549,/content/MediScan/Training/pituitary/Tr-pi_370.jpg,pituitary,meningioma,3,1
564,/content/MediScan/Training/meningioma/Tr-me_1054.jpg,meningioma,glioma,1,0
572,/content/MediScan/Training/meningioma/Tr-me_757.jpg,meningioma,pituitary,1,3
582,/content/MediScan/Training/glioma/Tr-gl_271.jpg,glioma,meningioma,0,1
586,/content/MediScan/Training/pituitary/Tr-pi_246.jpg,pituitary,notumor,3,2
603,/content/MediScan/Testing/glioma/Te-gl_181.jpg,glioma,meningioma,0,1
605,/content/MediScan/Training/glioma/Tr-gl_17.jpg,glioma,meningioma,0,1
612,/content/MediScan/Training/glioma/Tr-gl_171.jpg,glioma,meningioma,0,1
624,/content/MediScan/Training/glioma/Tr-gl_1003.jpg,glioma,meningioma,0,1
627,/content/MediScan/Training/notumor/Tr-no_493.jpg,notumor,meningioma,2,1
628,/content/MediScan/Training/pituitary/Tr-pi_1209.jpg,pituitary,notumor,3,2
645,/content/MediScan/Training/meningioma/Tr-me_432.jpg,meningioma,notumor,1,2
647,/content/MediScan/Training/glioma/Tr-gl_1074.jpg,glioma,meningioma,0,1
649,/content/MediScan/Testing/glioma/Te-gl_94.jpg,glioma,pituitary,0,3
652,/content/MediScan/Testing/glioma/Te-gl_75.jpg,glioma,meningioma,0,1
667,/content/MediScan/Training/glioma/Tr-gl_822.jpg,glioma,meningioma,0,1
670,/content/MediScan/Testing/glioma/Te-gl_51.jpg,glioma,pituitary,0,3
679,/content/MediScan/Training/pituitary/Tr-pi_1255.jpg,pituitary,meningioma,3,1
686,/content/MediScan/Training/glioma/Tr-gl_1174.jpg,glioma,meningioma,0,1
687,/content/MediScan/Training/meningioma/Tr-aug-me_62.jpg,meningioma,glioma,1,0
710,/content/MediScan/Training/pituitary/Tr-pi_280.jpg,pituitary,meningioma,3,1
734,/content/MediScan/Training/notumor/Tr-no_1267.jpg,notumor,meningioma,2,1
735,/content/MediScan/Training/meningioma/Tr-me_952.jpg,meningioma,pituitary,1,3
744,/content/MediScan/Training/meningioma/Tr-me_732.jpg,meningioma,glioma,1,0
765,/content/MediScan/Training/meningioma/Tr-aug-me_57.jpg,meningioma,pituitary,1,3
767,/content/MediScan/Testing/glioma/Te-gl_28.jpg,glioma,meningioma,0,1
822,/content/MediScan/Training/meningioma/Tr-me_305.jpg,meningioma,notumor,1,2
824,/content/MediScan/Training/meningioma/Tr-me_1229.jpg,meningioma,pituitary,1,3
843,/content/MediScan/Training/meningioma/Tr-me_753.jpg,meningioma,notumor,1,2
846,/content/MediScan/Testing/glioma/Te-gl_323.jpg,glioma,notumor,0,2
866,/content/MediScan/Training/pituitary/Tr-pi_317.jpg,pituitary,meningioma,3,1
878,/content/MediScan/Testing/meningioma/Te-me_167.jpg,meningioma,notumor,1,2
880,/content/MediScan/Testing/glioma/Te-gl_314.jpg,glioma,meningioma,0,1
909,/content/MediScan/Training/meningioma/Tr-me_469.jpg,meningioma,glioma,1,0
919,/content/MediScan/Testing/glioma/Te-gl_218.jpg,glioma,notumor,0,2
924,/content/MediScan/Training/glioma/Tr-gl_1113.jpg,glioma,meningioma,0,1
929,/content/MediScan/Training/pituitary/Tr-pi_1116.jpg,pituitary,meningioma,3,1
956,/content/MediScan/Training/meningioma/Tr-me_611.jpg,meningioma,glioma,1,0
966,/content/MediScan/Training/meningioma/Tr-me_849.jpg,meningioma,notumor,1,2
967,/content/MediScan/Training/meningioma/Tr-me_1005.jpg,meningioma,pituitary,1,3
984,/content/MediScan/Testing/glioma/Te-gl_245.jpg,glioma,meningioma,0,1
991,/content/MediScan/Testing/meningioma/Te-me_270.jpg,meningioma,notumor,1,2
999,/content/MediScan/Training/meningioma/Tr-me_759.jpg,meningioma,pituitary,1,3
1011,/content/MediScan/Testing/glioma/Te-gl_275.jpg,glioma,meningioma,0,1
1018,/content/MediScan/Training/notumor/Tr-no_897.jpg,notumor,pituitary,2,3
1020,/content/MediScan/Training/meningioma/Tr-me_1106.jpg,meningioma,pituitary,1,3
1038,/content/MediScan/Testing/pituitary/Te-pi_21.jpg,pituitary,meningioma,3,1
1039,/content/MediScan/Training/glioma/Tr-gl_392.jpg,glioma,meningioma,0,1
